username,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,danceability
joshhall811,0.422,11,-11.89,1,0.195,0.701,1.99E-06,0.0853,0.191,74.002,audio_features,0Eqg0CQ7bK3RQIMPw1A7pl,spotify:track:0Eqg0CQ7bK3RQIMPw1A7pl,https://api.spotify.com/v1/tracks/0Eqg0CQ7bK3RQIMPw1A7pl,https://api.spotify.com/v1/audio-analysis/0Eqg0CQ7bK3RQIMPw1A7pl,286928,4,0.559
joshhall811,0.274,1,-11.269,1,0.146,0.453,0,0.155,0.629,141.039,audio_features,1Sl3gcmaeiU3vOMPpeM98V,spotify:track:1Sl3gcmaeiU3vOMPpeM98V,https://api.spotify.com/v1/tracks/1Sl3gcmaeiU3vOMPpeM98V,https://api.spotify.com/v1/audio-analysis/1Sl3gcmaeiU3vOMPpeM98V,200923,4,0.752
joshhall811,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,audio_features,3ZCTVFBt2Brf31RLEnCkWJ,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,https://api.spotify.com/v1/tracks/3ZCTVFBt2Brf31RLEnCkWJ,https://api.spotify.com/v1/audio-analysis/3ZCTVFBt2Brf31RLEnCkWJ,245426,4,0.704
joshhall811,0.831,7,-5.2,1,0.24,0.0812,0,0.199,0.798,171.965,audio_features,7lyzSPHHUWnGgFwfopt3Hr,spotify:track:7lyzSPHHUWnGgFwfopt3Hr,https://api.spotify.com/v1/tracks/7lyzSPHHUWnGgFwfopt3Hr,https://api.spotify.com/v1/audio-analysis/7lyzSPHHUWnGgFwfopt3Hr,149850,4,0.59
joshhall811,0.178,2,-11.12,1,0.0349,0.897,3.84E-05,0.101,0.0933,98.988,audio_features,348AV1sJCCycEVnORjId72,spotify:track:348AV1sJCCycEVnORjId72,https://api.spotify.com/v1/tracks/348AV1sJCCycEVnORjId72,https://api.spotify.com/v1/audio-analysis/348AV1sJCCycEVnORjId72,227674,4,0.602
joshhall811,0.341,11,-8.518,1,0.0299,0.924,1.06E-06,0.0996,0.18,117.966,audio_features,4PG2z8ALYwpLvEo1R2I6n9,spotify:track:4PG2z8ALYwpLvEo1R2I6n9,https://api.spotify.com/v1/tracks/4PG2z8ALYwpLvEo1R2I6n9,https://api.spotify.com/v1/audio-analysis/4PG2z8ALYwpLvEo1R2I6n9,204549,3,0.532
joshhall811,0.751,2,-5.256,1,0.0269,0.0125,0.000459,0.0501,0.38,103.009,audio_features,4oecUEFtf9m5x8YQFfE1em,spotify:track:4oecUEFtf9m5x8YQFfE1em,https://api.spotify.com/v1/tracks/4oecUEFtf9m5x8YQFfE1em,https://api.spotify.com/v1/audio-analysis/4oecUEFtf9m5x8YQFfE1em,194173,4,0.576
joshhall811,0.322,0,-6.982,1,0.0315,0.472,0,0.14,0.219,109.877,audio_features,7pbxFCIMIYrfKsgpoB3UL6,spotify:track:7pbxFCIMIYrfKsgpoB3UL6,https://api.spotify.com/v1/tracks/7pbxFCIMIYrfKsgpoB3UL6,https://api.spotify.com/v1/audio-analysis/7pbxFCIMIYrfKsgpoB3UL6,259906,4,0.6
joshhall811,0.433,2,-8.876,1,0.0258,0.0828,2.53E-05,0.0996,0.353,140.169,audio_features,1NLjz5EHlw7CP2hJIXuZbm,spotify:track:1NLjz5EHlw7CP2hJIXuZbm,https://api.spotify.com/v1/tracks/1NLjz5EHlw7CP2hJIXuZbm,https://api.spotify.com/v1/audio-analysis/1NLjz5EHlw7CP2hJIXuZbm,235048,4,0.658
joshhall811,0.224,9,-11.305,0,0.0617,0.883,2.49E-06,0.496,0.296,118.283,audio_features,4MVolTUnON9XZqmzn7kNeW,spotify:track:4MVolTUnON9XZqmzn7kNeW,https://api.spotify.com/v1/tracks/4MVolTUnON9XZqmzn7kNeW,https://api.spotify.com/v1/audio-analysis/4MVolTUnON9XZqmzn7kNeW,245333,4,0.489
joshhall811,0.178,0,-11.991,1,0.0574,0.607,0,0.623,0.608,93.982,audio_features,18uwL0vNUanqZH0ro2QcOP,spotify:track:18uwL0vNUanqZH0ro2QcOP,https://api.spotify.com/v1/tracks/18uwL0vNUanqZH0ro2QcOP,https://api.spotify.com/v1/audio-analysis/18uwL0vNUanqZH0ro2QcOP,181613,4,0.795
joshhall811,0.0924,0,-15.605,1,0.0366,0.784,0,0.304,0.219,108.917,audio_features,2LMkwUfqC6S6s6qDVlEuzV,spotify:track:2LMkwUfqC6S6s6qDVlEuzV,https://api.spotify.com/v1/tracks/2LMkwUfqC6S6s6qDVlEuzV,https://api.spotify.com/v1/audio-analysis/2LMkwUfqC6S6s6qDVlEuzV,248808,4,0.444
joshhall811,0.305,4,-14.037,1,0.053,0.653,0,0.103,0.222,113.818,audio_features,02tvc9CFnTyHuSRlGeNv9w,spotify:track:02tvc9CFnTyHuSRlGeNv9w,https://api.spotify.com/v1/tracks/02tvc9CFnTyHuSRlGeNv9w,https://api.spotify.com/v1/audio-analysis/02tvc9CFnTyHuSRlGeNv9w,206975,4,0.608
joshhall811,0.652,10,-7.498,1,0.373,0.704,0.00055,0.125,0.486,158.49,audio_features,3uouaAVXpQR3X8RYkJyitQ,spotify:track:3uouaAVXpQR3X8RYkJyitQ,https://api.spotify.com/v1/tracks/3uouaAVXpQR3X8RYkJyitQ,https://api.spotify.com/v1/audio-analysis/3uouaAVXpQR3X8RYkJyitQ,194960,4,0.589
joshhall811,0.0952,6,-12.561,1,0.0479,0.931,0.000201,0.126,0.0773,109.698,audio_features,34xTFwjPQ1dC6uJmleno7x,spotify:track:34xTFwjPQ1dC6uJmleno7x,https://api.spotify.com/v1/tracks/34xTFwjPQ1dC6uJmleno7x,https://api.spotify.com/v1/audio-analysis/34xTFwjPQ1dC6uJmleno7x,177922,4,0.421
joshhall811,0.294,5,-13.673,0,0.0593,0.882,5.43E-06,0.0981,0.401,129.146,audio_features,4xR3MAscflQ262kMeiKshQ,spotify:track:4xR3MAscflQ262kMeiKshQ,https://api.spotify.com/v1/tracks/4xR3MAscflQ262kMeiKshQ,https://api.spotify.com/v1/audio-analysis/4xR3MAscflQ262kMeiKshQ,184600,4,0.423
joshhall811,0.503,0,-5.628,1,0.0316,0.339,0,0.111,0.53,73.965,audio_features,1Bn8jBSmtSQdvAFXU3ok1w,spotify:track:1Bn8jBSmtSQdvAFXU3ok1w,https://api.spotify.com/v1/tracks/1Bn8jBSmtSQdvAFXU3ok1w,https://api.spotify.com/v1/audio-analysis/1Bn8jBSmtSQdvAFXU3ok1w,286707,4,0.388
joshhall811,0.469,9,-3.182,0,0.327,0.487,0,0.28,0.515,101.601,audio_features,1gqkRc9WtOpnGIqxf2Hvzr,spotify:track:1gqkRc9WtOpnGIqxf2Hvzr,https://api.spotify.com/v1/tracks/1gqkRc9WtOpnGIqxf2Hvzr,https://api.spotify.com/v1/audio-analysis/1gqkRc9WtOpnGIqxf2Hvzr,156480,4,0.605
joshhall811,0.672,0,-5.975,0,0.0573,0.198,0,0.175,0.792,80.035,audio_features,42tBlHWL3VfDkUM2iWcc5p,spotify:track:42tBlHWL3VfDkUM2iWcc5p,https://api.spotify.com/v1/tracks/42tBlHWL3VfDkUM2iWcc5p,https://api.spotify.com/v1/audio-analysis/42tBlHWL3VfDkUM2iWcc5p,261000,4,0.687
sheepran,0.807,7,-5.052,0,0.0608,0.052,0,0.214,0.698,116.971,audio_features,27BgDmciSjoxTG0almHTpZ,spotify:track:27BgDmciSjoxTG0almHTpZ,https://api.spotify.com/v1/tracks/27BgDmciSjoxTG0almHTpZ,https://api.spotify.com/v1/audio-analysis/27BgDmciSjoxTG0almHTpZ,223293,4,0.711
sheepran,0.335,5,-10.179,0,0.505,0.17,0,0.262,0.707,120.04,audio_features,5hTpBe8h35rJ67eAWHQsJx,spotify:track:5hTpBe8h35rJ67eAWHQsJx,https://api.spotify.com/v1/tracks/5hTpBe8h35rJ67eAWHQsJx,https://api.spotify.com/v1/audio-analysis/5hTpBe8h35rJ67eAWHQsJx,209640,4,0.94
sheepran,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,audio_features,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,263400,3,0.599
sheepran,0.455,7,-9.209,1,0.0849,0.119,0.0209,0.122,0.471,199.871,audio_features,17zgwQPgs1njHvgJeEiwiV,spotify:track:17zgwQPgs1njHvgJeEiwiV,https://api.spotify.com/v1/tracks/17zgwQPgs1njHvgJeEiwiV,https://api.spotify.com/v1/audio-analysis/17zgwQPgs1njHvgJeEiwiV,240986,3,0.387
sheepran,0.833,1,-7.219,0,0.0855,0.124,0,0.159,0.653,80.968,audio_features,33n9hKYymXgXV0p6j2zYp9,spotify:track:33n9hKYymXgXV0p6j2zYp9,https://api.spotify.com/v1/tracks/33n9hKYymXgXV0p6j2zYp9,https://api.spotify.com/v1/audio-analysis/33n9hKYymXgXV0p6j2zYp9,189115,4,0.629
sheepran,0.621,5,-4.894,0,0.0838,0.423,2.39E-06,0.153,0.477,103.922,audio_features,0BxPg4tI830e0D7BeqTU2e,spotify:track:0BxPg4tI830e0D7BeqTU2e,https://api.spotify.com/v1/tracks/0BxPg4tI830e0D7BeqTU2e,https://api.spotify.com/v1/audio-analysis/0BxPg4tI830e0D7BeqTU2e,207507,4,0.767
sheepran,0.794,0,-5.126,0,0.0522,0.0323,2.59E-05,0.112,0.356,139.994,audio_features,0CokSRCu5hZgPxcZBaEzVE,spotify:track:0CokSRCu5hZgPxcZBaEzVE,https://api.spotify.com/v1/tracks/0CokSRCu5hZgPxcZBaEzVE,https://api.spotify.com/v1/audio-analysis/0CokSRCu5hZgPxcZBaEzVE,220454,4,0.731
sheepran,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,audio_features,0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,206693,4,0.853
sheepran,0.663,7,-6.955,0,0.0755,0.0431,8.71E-06,0.0891,0.864,113.998,audio_features,0ifooM33X1iBxVYyOkSbXW,spotify:track:0ifooM33X1iBxVYyOkSbXW,https://api.spotify.com/v1/tracks/0ifooM33X1iBxVYyOkSbXW,https://api.spotify.com/v1/audio-analysis/0ifooM33X1iBxVYyOkSbXW,220173,4,0.853
sheepran,0.572,9,-7.019,1,0.0763,0.0478,0,0.0853,0.417,102.986,audio_features,10GJQkjRJcZhGTLagFOC62,spotify:track:10GJQkjRJcZhGTLagFOC62,https://api.spotify.com/v1/tracks/10GJQkjRJcZhGTLagFOC62,https://api.spotify.com/v1/audio-analysis/10GJQkjRJcZhGTLagFOC62,204400,4,0.756
sheepran,0.831,9,-5.389,1,0.034,0.0146,0,0.103,0.676,114.972,audio_features,1RidHM9BC4M8DpfSQ6YLJh,spotify:track:1RidHM9BC4M8DpfSQ6YLJh,https://api.spotify.com/v1/tracks/1RidHM9BC4M8DpfSQ6YLJh,https://api.spotify.com/v1/audio-analysis/1RidHM9BC4M8DpfSQ6YLJh,224294,4,0.692
